Keyword,Our_SKU,Brand,Category,Is_Ours,Notes
"Bimbo cake chocolate 25g",FGBM001,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake chocolate 50g",FGBM002,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake chocolate 6pack",FGBM003,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake chocolate 12pack",FGBM004,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake chocolate 24pack",FGBM005,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo brownie chocolate 25g",FGBM006,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo brownie chocolate 50g",FGBM007,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo brownie chocolate 6pack",FGBM008,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo brownie chocolate 12pack",FGBM009,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo Swiss roll chocolate 30g",FGBM010,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo Swiss roll chocolate 60g",FGBM011,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo Swiss roll chocolate 6pack",FGBM012,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo Swiss roll chocolate 12pack",FGBM013,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake vanilla cream 25g",FGBM014,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake vanilla cream 50g",FGBM015,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake vanilla cream 6pack",FGBM016,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake vanilla cream 12pack",FGBM017,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake caramel 25g",FGBM018,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake caramel 6pack",FGBM019,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake coconut 25g",FGBM020,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake coconut 6pack",FGBM021,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake lemon 25g",FGBM022,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake lemon 6pack",FGBM023,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake strawberry 25g",FGBM024,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake strawberry 6pack",FGBM025,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo mini cakes chocolate 4pack",FGBM026,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo mini cakes chocolate 8pack",FGBM027,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo mini cakes vanilla 4pack",FGBM028,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo mini cakes vanilla 8pack",FGBM029,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo layer cake chocolate 200g",FGBM030,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo layer cake vanilla 200g",FGBM031,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake chocolate cream 25g",FGBM032,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake display box",FGBM033,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo cake family pack",FGBM034,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Bimbo assorted cakes pack",FGBM035,Corona,Bimbo,TRUE,REPLACE SKU with D365 FO code
"Corona milk chocolate 20g",FGCB001,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona milk chocolate 25g",FGCB002,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona milk chocolate 30g",FGCB003,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona milk chocolate 40g",FGCB004,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona milk chocolate 50g",FGCB005,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona milk chocolate 65g",FGCB006,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona milk chocolate 100g",FGCB007,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona milk chocolate 150g",FGCB008,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona milk chocolate 200g",FGCB009,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona milk chocolate multipack",FGCB010,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona dark chocolate 25g",FGCB011,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona dark chocolate 40g",FGCB012,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona dark chocolate 65g",FGCB013,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona dark chocolate 100g",FGCB014,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona dark chocolate 150g",FGCB015,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona dark chocolate 200g",FGCB016,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona hazelnut chocolate 25g",FGCB017,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona hazelnut chocolate 40g",FGCB018,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
"Corona hazelnut chocolate 65g",FGCB019,Corona,Chocolate Bars,TRUE,REPLACE SKU with D365 FO code
