Keyword,Our_SKU,Brand,Category,Is_Ours,Platform,Priority
corona bimbo stick,FGBSBCM01,Corona,Bimbo,TRUE,Talabat,Daily
corona bimbo stick,FGBSBCM01,Corona,Bimbo,TRUE,Breadfast,Daily
corona bimbo stick,FGBSBCM01,Corona,Bimbo,TRUE,Rabbit,Daily
corona bimbo stick,FGBSBCM01,Corona,Bimbo,TRUE,Noon,3x/week
corona bimbo stick,FGBSBCM01,Corona,Bimbo,TRUE,Carrefour,3x/week
corona bimbo stick,FGBSBCM01,Corona,Bimbo,TRUE,Amazon,3x/week
corona bimbo stick,FGBSBCM01,Corona,Bimbo,TRUE,Jumia,Weekly
corona bimbo stick,FGBSBCM01,Corona,Bimbo,TRUE,InstaShop,Weekly
corona bimbo chocolate cake,FGBSBCM02,Corona,Bimbo,TRUE,Talabat,Daily
corona bimbo chocolate cake,FGBSBCM02,Corona,Bimbo,TRUE,Breadfast,Daily
corona bimbo chocolate cake,FGBSBCM02,Corona,Bimbo,TRUE,Rabbit,Daily
corona bimbo chocolate cake,FGBSBCM02,Corona,Bimbo,TRUE,Noon,3x/week
corona bimbo chocolate cake,FGBSBCM02,Corona,Bimbo,TRUE,Carrefour,3x/week
corona bimbo chocolate cake,FGBSBCM02,Corona,Bimbo,TRUE,Amazon,3x/week
corona bimbo double,FGBSBCM03,Corona,Bimbo,TRUE,Talabat,Daily
corona bimbo double,FGBSBCM03,Corona,Bimbo,TRUE,Breadfast,Daily
corona bimbo double,FGBSBCM03,Corona,Bimbo,TRUE,Rabbit,Daily
corona bimbo double,FGBSBCM03,Corona,Bimbo,TRUE,Noon,3x/week
corona bimbo double,FGBSBCM03,Corona,Bimbo,TRUE,Carrefour,3x/week
hohos king chocolate,COMP-HOHOS-01,Edita,Bimbo,FALSE,Talabat,Daily
hohos king chocolate,COMP-HOHOS-01,Edita,Bimbo,FALSE,Breadfast,Daily
hohos king chocolate,COMP-HOHOS-01,Edita,Bimbo,FALSE,Rabbit,Daily
hohos king chocolate,COMP-HOHOS-01,Edita,Bimbo,FALSE,Noon,3x/week
hohos king chocolate,COMP-HOHOS-01,Edita,Bimbo,FALSE,Carrefour,3x/week
todo chocolate brownie cake,COMP-TODO-01,Edita,Bimbo,FALSE,Talabat,Daily
todo chocolate brownie cake,COMP-TODO-01,Edita,Bimbo,FALSE,Breadfast,Daily
todo chocolate brownie cake,COMP-TODO-01,Edita,Bimbo,FALSE,Rabbit,Daily
todo chocolate brownie cake,COMP-TODO-01,Edita,Bimbo,FALSE,Carrefour,3x/week
tiger tail edita,COMP-TIGER-01,Edita,Bimbo,FALSE,Talabat,Daily
tiger tail edita,COMP-TIGER-01,Edita,Bimbo,FALSE,Breadfast,Daily
tiger tail edita,COMP-TIGER-01,Edita,Bimbo,FALSE,Carrefour,3x/week
katakito chocolate,COMP-KTKTO-01,Edita,Bimbo,FALSE,Talabat,Daily
katakito chocolate,COMP-KTKTO-01,Edita,Bimbo,FALSE,Breadfast,Daily
katakito chocolate,COMP-KTKTO-01,Edita,Bimbo,FALSE,Rabbit,Daily
corona chocolate bar dark,FGCHBD01,Corona,Chocolate Bars,TRUE,Talabat,Daily
corona chocolate bar dark,FGCHBD01,Corona,Chocolate Bars,TRUE,Breadfast,Daily
corona chocolate bar dark,FGCHBD01,Corona,Chocolate Bars,TRUE,Rabbit,Daily
corona chocolate bar dark,FGCHBD01,Corona,Chocolate Bars,TRUE,Noon,3x/week
corona chocolate bar dark,FGCHBD01,Corona,Chocolate Bars,TRUE,Carrefour,3x/week
corona chocolate bar dark,FGCHBD01,Corona,Chocolate Bars,TRUE,Amazon,3x/week
corona chocolate bar dark,FGCHBD01,Corona,Chocolate Bars,TRUE,Spinneys,Weekly
corona chocolate bar dark,FGCHBD01,Corona,Chocolate Bars,TRUE,Gourmet,Weekly
corona chocolate bar milk,FGCHBM01,Corona,Chocolate Bars,TRUE,Talabat,Daily
corona chocolate bar milk,FGCHBM01,Corona,Chocolate Bars,TRUE,Breadfast,Daily
corona chocolate bar milk,FGCHBM01,Corona,Chocolate Bars,TRUE,Rabbit,Daily
corona chocolate bar milk,FGCHBM01,Corona,Chocolate Bars,TRUE,Noon,3x/week
corona chocolate bar milk,FGCHBM01,Corona,Chocolate Bars,TRUE,Carrefour,3x/week
corona chocolate bar milk,FGCHBM01,Corona,Chocolate Bars,TRUE,Amazon,3x/week
corona chocolate bar milk,FGCHBM01,Corona,Chocolate Bars,TRUE,Spinneys,Weekly
corona tablet white chocolate,FGCHBW01,Corona,Chocolate Bars,TRUE,Talabat,Daily
corona tablet white chocolate,FGCHBW01,Corona,Chocolate Bars,TRUE,Breadfast,Daily
corona tablet white chocolate,FGCHBW01,Corona,Chocolate Bars,TRUE,Carrefour,3x/week
corona tablet white chocolate,FGCHBW01,Corona,Chocolate Bars,TRUE,Noon,3x/week
cadbury dairy milk,COMP-CDM-200,Cadbury,Chocolate Bars,FALSE,Talabat,Daily
cadbury dairy milk,COMP-CDM-200,Cadbury,Chocolate Bars,FALSE,Breadfast,Daily
cadbury dairy milk,COMP-CDM-200,Cadbury,Chocolate Bars,FALSE,Rabbit,Daily
